Alcoa Quarterly Net Income (Millions of US $),Alcoa Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$-252
2023-12-31,$-150
2023-09-30,$-168
2023-06-30,$-102
2023-03-31,$-231
2022-12-31,$-395
2022-09-30,$-746
2022-06-30,$549
2022-03-31,$469
2021-12-31,$-392
2021-09-30,$337
2021-06-30,$309
2021-03-31,$175
2020-12-31,$-4
2020-09-30,$-49
2020-06-30,$-197
2020-03-31,$80
2019-12-31,$-303
2019-09-30,$-221
2019-06-30,$-402
2019-03-31,$-199
2018-12-31,$51
2018-09-30,$-6
2018-06-30,$10
2018-03-31,$195
2017-12-31,$-134
2017-09-30,$113
2017-06-30,$75
2017-03-31,$225
2016-12-31,$-125
2016-09-30,$-10
2016-06-30,$-55
2016-03-31,$-210
2015-12-31,
2015-09-30,$-124
2014-12-31,
