PennyMac Mortgage Investment Trust Quarterly Net Income (Millions of US $),PennyMac Mortgage Investment Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$37
2023-12-31,$42
2023-09-30,$51
2023-06-30,$14
2023-03-31,$50
2022-12-31,$-6
2022-09-30,$1
2022-06-30,$-81
2022-03-31,$-30
2021-12-31,$-27
2021-09-30,$-44
2021-06-30,$32
2021-03-31,$65
2020-12-31,$77
2020-09-30,$93
2020-06-30,$458
2020-03-31,$-601
2019-12-31,$52
2019-09-30,$64
2019-06-30,$38
2019-03-31,$47
2018-12-31,$35
2018-09-30,$40
2018-06-30,$30
2018-03-31,$22
2017-12-31,$34
2017-09-30,$13
2017-06-30,$26
2017-03-31,$28
2016-12-31,$31
2016-09-30,$35
2016-06-30,$-5
2016-03-31,$14
2015-12-31,$14
2015-09-30,$39
2015-06-30,$28
2015-03-31,$8
2014-12-31,$25
2014-09-30,$55
2014-06-30,$75
2014-03-31,$38
2013-12-31,$52
2013-09-30,$40
2013-06-30,$54
2013-03-31,$53
2012-12-31,$48
2012-09-30,$40
2012-06-30,$29
2012-03-31,$19
2011-12-31,$19
2011-09-30,$20
2011-06-30,$17
2011-03-31,$8
2010-12-31,$7
2010-09-30,$8
2010-06-30,$8
2010-03-31,$1
2009-12-31,
2009-09-30,$-1
2009-06-30,
