American Tower Quarterly Net Income (Millions of US $),American Tower Quarterly Net Income (Millions of US $).1
2024-06-30,$900
2024-03-31,$917
2023-12-31,$85
2023-09-30,$587
2023-06-30,$476
2023-03-31,$336
2022-12-31,$-684
2022-09-30,$840
2022-06-30,$898
2022-03-31,$712
2021-12-31,$453
2021-09-30,$723
2021-06-30,$746
2021-03-31,$645
2020-12-31,$365
2020-09-30,$464
2020-06-30,$446
2020-03-31,$415
2019-12-31,$563
2019-09-30,$499
2019-06-30,$429
2019-03-31,$397
2018-12-31,$278
2018-09-30,$367
2018-06-30,$307
2018-03-31,$276
2017-12-31,$220
2017-09-30,$298
2017-06-30,$344
2017-03-31,$289
2016-12-31,$202
2016-09-30,$238
2016-06-30,$161
2016-03-31,$248
2015-12-31,$206
2015-09-30,$76
2015-06-30,$129
2015-03-31,$183
2014-12-31,$169
2014-09-30,$200
2014-06-30,$230
2014-03-31,$202
2013-12-31,$100
2013-09-30,$180
2013-06-30,$100
2013-03-31,$171
2012-12-31,$136
2012-09-30,$232
2012-06-30,$48
2012-03-31,$221
2011-12-31,$205
2011-09-30,$-16
2011-06-30,$115
2011-03-31,$92
2010-12-31,$84
2010-09-30,$93
2010-06-30,$100
2010-03-31,$96
2009-12-31,$64
2009-09-30,$67
2009-06-30,$56
2009-03-31,$59
