"Copa Holdings, S.A Quarterly Net Income (Millions of US $)","Copa Holdings, S.A Quarterly Net Income (Millions of US $).1"
2024-06-30,$120
2024-03-31,$176
2023-12-31,$188
2023-09-30,$187
2023-06-30,$18
2023-03-31,$122
2022-12-31,$88
2022-09-30,$116
2022-06-30,$124
2022-03-31,$20
2021-12-31,$118
2021-09-30,$8
2021-06-30,$28
2021-03-31,$-111
2020-12-31,$-399
2020-09-30,$104
2020-06-30,$-386
2020-03-31,$74
2019-12-31,$3
2019-09-30,$104
2019-06-30,$51
2019-03-31,$89
2018-12-31,$-156
2018-09-30,$58
2018-06-30,$50
2018-03-31,$137
2017-12-31,$99
2017-09-30,$105
2017-06-30,$59
2017-03-31,$101
2016-12-31,$91
2016-09-30,$74
2016-06-30,$55
2016-03-31,$115
2015-12-31,$-408
2015-09-30,$6
2015-06-30,$64
2015-03-31,$113
2014-12-31,$26
2014-09-30,$66
2014-06-30,$118
2014-03-31,$151
2013-12-31,$113
2013-09-30,$126
2013-06-30,$74
2013-03-31,$114
2012-12-31,$87
2012-09-30,$112
2012-06-30,$32
2012-03-31,$96
2011-12-31,$104
2011-09-30,$70
2011-06-30,$41
2011-03-31,$94
2010-12-31,$98
2010-09-30,$72
2010-06-30,$29
2010-03-31,$42
2009-12-31,$79
2009-09-30,$43
2009-06-30,$55
2009-03-31,$72
