Rapid7 Quarterly Net Income (Millions of US $),Rapid7 Quarterly Net Income (Millions of US $).1
2024-06-30,$8
2024-03-31,$2
2023-12-31,$20
2023-09-30,$-77
2023-06-30,$-67
2023-03-31,$-26
2022-12-31,$-11
2022-09-30,$-29
2022-06-30,$-40
2022-03-31,$-45
2021-12-31,$-45
2021-09-30,$-38
2021-06-30,$-34
2021-03-31,$-30
2020-12-31,$-29
2020-09-30,$-26
2020-06-30,$-21
2020-03-31,$-23
2019-12-31,$-14
2019-09-30,$-14
2019-06-30,$-13
2019-03-31,$-12
2018-12-31,$-13
2018-09-30,$-12
2018-06-30,$-14
2018-03-31,$-16
2017-12-31,$-13
2017-09-30,$-10
2017-06-30,$-12
2017-03-31,$-11
2016-12-31,$-10
2016-09-30,$-10
2016-06-30,$-13
2016-03-31,$-16
2015-12-31,$-21
2015-09-30,$-26
2015-06-30,$-33
2015-03-31,$-19
2014-12-31,
2014-09-30,$5
2014-06-30,$-24
2013-12-31,
2012-12-31,
