Dorian LPG Quarterly Net Income (Millions of US $),Dorian LPG Quarterly Net Income (Millions of US $).1
2024-06-30,$51
2024-03-31,$79
2023-12-31,$100
2023-09-30,$77
2023-06-30,$52
2023-03-31,$76
2022-12-31,$51
2022-09-30,$20
2022-06-30,$25
2022-03-31,$35
2021-12-31,$17
2021-09-30,$14
2021-06-30,$6
2021-03-31,$44
2020-12-31,$36
2020-09-30,$1
2020-06-30,$12
2020-03-31,$29
2019-12-31,$36
2019-09-30,$41
2019-06-30,$6
2019-03-31,$-16
2018-12-31,$-6
2018-09-30,$-8
2018-06-30,$-21
2018-03-31,$-3
2017-12-31,$2
2017-09-30,$-12
2017-06-30,$-7
2017-03-31,$2
2016-12-31,$5
2016-09-30,$-7
2016-06-30,$-1
2016-03-31,$20
2015-12-31,$55
2015-09-30,$41
2015-06-30,$14
2015-03-31,$9
2014-12-31,$9
2014-09-30,$4
2014-06-30,$4
2014-03-31,
2013-12-31,$6
2013-09-30,$-1
2013-03-31,
