Dayforce Quarterly Net Income (Millions of US $),Dayforce Quarterly Net Income (Millions of US $).1
2024-06-30,$-2
2024-03-31,$7
2023-12-31,$46
2023-09-30,$-4
2023-06-30,$3
2023-03-31,$10
2022-12-31,$-5
2022-09-30,$-21
2022-06-30,$-20
2022-03-31,$-27
2021-12-31,$-10
2021-09-30,$-21
2021-06-30,$-26
2021-03-31,$-19
2020-12-31,$-17
2020-09-30,$-1
2020-06-30,$6
2020-03-31,$9
2019-12-31,$-2
2019-09-30,$63
2019-06-30,$6
2019-03-31,$11
2018-12-31,$6
2018-09-30,$4
2018-06-30,$-66
2018-03-31,$-5
2017-12-31,$58
2017-09-30,$-20
2017-06-30,$-23
2017-03-31,$-11
2016-12-31,
2015-12-31,
