Banco Bradesco SA Quarterly Net Income (Millions of US $),Banco Bradesco SA Quarterly Net Income (Millions of US $).1
2024-06-30,$789
2024-03-31,$832
2023-09-30,$696
2023-06-30,
2023-03-31,$824
2022-03-31,"$1,342"
2021-09-30,"$1,272"
2021-03-31,"$1,126"
2020-09-30,$781
2020-03-31,$764
2019-03-31,"$1,545"
2018-03-31,"$1,377"
2017-03-31,"$1,296"
2016-03-31,"$1,059"
2015-06-30,"$1,457"
2015-03-31,"$1,494"
2014-12-31,"$1,578"
2014-09-30,"$1,711"
2014-06-30,"$1,697"
2014-03-31,"$1,460"
2013-12-31,"$1,361"
2013-09-30,"$1,342"
2013-06-30,"$1,432"
2013-03-31,"$1,463"
2012-12-31,"$1,423"
2012-09-30,"$1,411"
2012-06-30,"$1,403"
2012-03-31,"$1,484"
2011-12-31,"$1,569"
2011-09-30,"$1,608"
2011-06-30,"$1,815"
2011-03-31,"$1,720"
2010-12-31,"$1,774"
2010-09-30,"$1,483"
2010-06-30,"$1,349"
2010-03-31,"$1,168"
2009-12-31,"$1,179"
2009-09-30,"$1,032"
2009-06-30,"$1,232"
2009-03-31,$748
