Maximus Quarterly Net Income (Millions of US $),Maximus Quarterly Net Income (Millions of US $).1
2024-06-30,$90
2024-03-31,$81
2023-12-31,$64
2023-09-30,$59
2023-06-30,$31
2023-03-31,$32
2022-12-31,$40
2022-09-30,$69
2022-06-30,$31
2022-03-31,$50
2021-12-31,$53
2021-09-30,$52
2021-06-30,$94
2021-03-31,$81
2020-12-31,$64
2020-09-30,$64
2020-06-30,$64
2020-03-31,$28
2019-12-31,$59
2019-09-30,$60
2019-06-30,$63
2019-03-31,$62
2018-12-31,$56
2018-09-30,$46
2018-06-30,$60
2018-03-31,$55
2017-12-31,$59
2017-09-30,$53
2017-06-30,$57
2017-03-31,$53
2016-12-31,$47
2016-09-30,$51
2016-06-30,$52
2016-03-31,$49
2015-12-31,$27
2015-09-30,$35
2015-06-30,$42
2015-03-31,$39
2014-12-31,$42
2014-09-30,$36
2014-06-30,$34
2014-03-31,$41
2013-12-31,$34
2013-09-30,$36
2013-06-30,$28
2013-03-31,$32
2012-12-31,$21
2012-09-30,$24
2012-06-30,$20
2012-03-31,$14
2011-12-31,$18
2011-09-30,$26
2011-06-30,$20
2011-03-31,$18
2010-12-31,$17
2010-09-30,$22
2010-06-30,$17
2010-03-31,$19
2009-12-31,$13
2009-09-30,$9
2009-06-30,$15
2009-03-31,$11
