United Rentals Quarterly Net Income (Millions of US $),United Rentals Quarterly Net Income (Millions of US $).1
2024-06-30,$636
2024-03-31,$542
2023-12-31,$679
2023-09-30,$703
2023-06-30,$591
2023-03-31,$451
2022-12-31,$639
2022-09-30,$606
2022-06-30,$493
2022-03-31,$367
2021-12-31,$481
2021-09-30,$409
2021-06-30,$293
2021-03-31,$203
2020-12-31,$297
2020-09-30,$208
2020-06-30,$212
2020-03-31,$173
2019-12-31,$338
2019-09-30,$391
2019-06-30,$270
2019-03-31,$175
2018-12-31,$310
2018-09-30,$333
2018-06-30,$270
2018-03-31,$183
2017-12-31,$897
2017-09-30,$199
2017-06-30,$141
2017-03-31,$109
2016-12-31,$153
2016-09-30,$187
2016-06-30,$134
2016-03-31,$92
2015-12-31,$169
2015-09-30,$215
2015-06-30,$86
2015-03-31,$115
2014-12-31,$194
2014-09-30,$192
2014-06-30,$94
2014-03-31,$60
2013-12-31,$140
2013-09-30,$143
2013-06-30,$83
2013-03-31,$21
2012-12-31,$41
2012-09-30,$73
2012-06-30,$-52
2012-03-31,$13
2011-12-31,$29
2011-09-30,$65
2011-06-30,$27
2011-03-31,$-20
2010-12-31,$-21
2010-09-30,$23
2010-06-30,$12
2010-03-31,$-40
2009-12-31,$-26
2009-09-30,
2009-06-30,$-17
2009-03-31,$-19
