Indivior Quarterly Net Income (Millions of US $),Indivior Quarterly Net Income (Millions of US $).1
2024-06-30,$-107
2024-03-31,$47
2023-12-31,$54
2023-09-30,$-135
2023-06-30,$39
2023-03-31,$44
2022-12-31,$-183
2022-09-30,$41
2022-06-30,$48
2022-03-31,$41
2021-12-31,$36
2021-09-30,$27
2021-06-30,$62
2021-03-31,$80
2020-12-31,$-13
2020-09-30,$10
2020-06-30,$18
2020-03-31,$-163
2019-12-31,$-55
2019-09-30,$48
2019-06-30,$75
2019-03-31,$66
2018-12-31,$23
2018-09-30,$89
2018-06-30,$70
2018-03-31,$93
2017-12-31,$-145
2017-09-30,$50
2017-06-30,$73
2017-03-31,$80
2016-12-31,$77
2016-09-30,$-149
2016-06-30,$57
2016-03-31,$50
2015-12-31,$37
2015-09-30,$48
2015-06-30,$66
2015-03-31,$77
2014-12-31,
2014-09-30,$93
2014-06-30,$114
2013-12-31,
2012-12-31,
2011-12-31,
