Dorchester Minerals Quarterly Net Income (Millions of US $),Dorchester Minerals Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$18
2023-12-31,$35
2023-09-30,$28
2023-06-30,$19
2023-03-31,$27
2022-12-31,$28
2022-09-30,$33
2022-06-30,$36
2022-03-31,$30
2021-12-31,$23
2021-09-30,$17
2021-06-30,$16
2021-03-31,$11
2020-12-31,$6
2020-09-30,$5
2020-06-30,$1
2020-03-31,$9
2019-12-31,$12
2019-09-30,$12
2019-06-30,$13
2019-03-31,$14
2018-12-31,$17
2018-09-30,$9
2018-06-30,$16
2018-03-31,$11
2017-12-31,$14
2017-09-30,$7
2017-06-30,$8
2017-03-31,$8
2016-12-31,$7
2016-09-30,$6
2016-06-30,$6
2016-03-31,$1
2015-12-31,$3
2015-09-30,$3
2015-06-30,$4
2015-03-31,$4
2014-12-31,$8
2014-09-30,$11
2014-06-30,$12
2014-03-31,$12
2013-12-31,$13
2013-09-30,$10
2013-06-30,$12
2013-03-31,$7
2012-12-31,$13
2012-09-30,$8
2012-06-30,$8
2012-03-31,$7
2011-12-31,$13
2011-09-30,$11
2011-06-30,$9
2011-03-31,$7
2010-12-31,$8
2010-09-30,$9
2010-06-30,$8
2010-03-31,$9
2009-12-31,$9
2009-09-30,$4
2009-06-30,$5
2009-03-31,$4
