NexPoint Residential Trust Quarterly Net Income (Millions of US $),NexPoint Residential Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$11
2024-03-31,$26
2023-12-31,$18
2023-09-30,$34
2023-06-30,$-4
2023-03-31,$-4
2022-12-31,$4
2022-09-30,$-1
2022-06-30,$-8
2022-03-31,$-5
2021-12-31,$39
2021-09-30,$-5
2021-06-30,$-3
2021-03-31,$-7
2020-12-31,$-4
2020-09-30,$30
2020-06-30,$-9
2020-03-31,$28
2019-12-31,$-13
2019-09-30,$119
2019-06-30,$-2
2019-03-31,$-4
2018-12-31,$-5
2018-09-30,$-5
2018-06-30,$-2
2018-03-31,$10
2017-12-31,$-4
2017-09-30,$54
2017-06-30,$7
2017-03-31,$-4
2016-12-31,$0
2016-09-30,$7
2016-06-30,$15
2016-03-31,$-0
2015-12-31,$-2
2015-09-30,$-1
2015-06-30,$-2
2015-03-31,$-5
2014-12-31,$-6
2014-09-30,$-6
2014-06-30,$-2
2014-03-31,$-2
2013-12-31,
