Fortis Quarterly Net Income (Millions of US $),Fortis Quarterly Net Income (Millions of US $).1
2024-06-30,$242
2024-03-31,$340
2023-12-31,$280
2023-09-30,$294
2023-06-30,$219
2023-03-31,$323
2022-12-31,$274
2022-09-30,$250
2022-06-30,$222
2022-03-31,$276
2021-12-31,$261
2021-09-30,$234
2021-06-30,$206
2021-03-31,$280
2020-12-31,$253
2020-09-30,$219
2020-06-30,$198
2020-03-31,$233
2019-12-31,$264
2019-09-30,$211
2019-06-30,$538
2019-03-31,$234
2018-12-31,$196
2018-09-30,$211
2018-06-30,$186
2018-03-31,$256
2017-12-31,$108
2017-09-30,$222
2017-06-30,$191
2017-03-31,$222
2016-12-31,$143
2016-09-30,$97
2016-06-30,$83
2016-03-31,$118
2015-12-31,$101
2015-09-30,$116
