TC Energy Quarterly Net Income (Millions of US $),TC Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$704
2024-03-31,$892
2023-12-31,"$1,086"
2023-09-30,$-147
2023-06-30,$186
2023-03-31,$971
2022-12-31,"$-1,130"
2022-09-30,$644
2022-06-30,$696
2022-03-31,$283
2021-12-31,$865
2021-09-30,$619
2021-06-30,$800
2021-03-31,$-835
2020-12-31,$868
2020-09-30,$679
2020-06-30,$924
2020-03-31,$856
2019-12-31,$840
2019-09-30,$560
2019-06-30,$841
2019-03-31,$755
2018-12-31,$831
2018-09-30,$710
2018-06-30,$608
2018-03-31,$581
2017-12-31,$683
2017-09-30,$488
2017-06-30,$655
2017-03-31,$486
2016-12-31,$-270
2016-09-30,$-104
2016-06-30,$283
2016-03-31,$184
2015-12-31,"$-1,825"
2015-09-30,$325
2015-06-30,$369
2015-03-31,$340
2014-12-31,$364
2014-09-30,$426
2014-06-30,$383
2014-03-31,$376
2013-12-31,$378
2013-09-30,$481
2013-06-30,$355
2013-03-31,$451
2012-12-31,$304
2012-09-30,$369
2012-06-30,$282
2012-03-31,$359
2011-12-31,$390
2011-09-30,$399
2011-06-30,$389
2011-03-31,$452
2010-12-31,$287
2010-09-30,$387
2010-06-30,$285
2010-03-31,$301
2009-12-31,$367
2009-09-30,$321
2009-06-30,$307
2009-03-31,$279
