CGI Quarterly Net Income (Millions of US $),CGI Quarterly Net Income (Millions of US $).1
2024-06-30,$322
2024-03-31,$316
2023-12-31,$286
2023-09-30,$309
2023-06-30,$309
2023-03-31,$310
2022-12-31,$282
2022-09-30,$278
2022-06-30,$285
2022-03-31,$294
2021-12-31,$291
2021-09-30,$275
2021-06-30,$276
2021-03-31,$269
2020-12-31,$264
2020-09-30,$189
2020-06-30,$188
2020-03-31,$235
2019-12-31,$220
2019-09-30,$245
2019-06-30,$231
2019-03-31,$239
2018-12-31,$236
2018-09-30,$224
2018-06-30,$223
2018-03-31,$217
2017-12-31,$224
2017-09-30,$169
2017-06-30,$206
2017-03-31,$207
2016-12-31,$206
2016-09-30,$589
2016-06-30,$212
2016-03-31,$206
2015-12-31,$178
2015-09-30,$178
2015-06-30,$209
2015-03-31,$209
2014-12-31,$190
2014-09-30,$189
2014-06-30,$208
2014-03-31,$210
2013-12-31,$171
2013-09-30,$134
2013-06-30,$173
2013-03-31,$113
2012-12-31,$22
2012-09-30,$-169
2012-06-30,$86
2012-03-31,$108
2011-12-31,$107
2011-09-30,$72
2011-06-30,$125
2011-03-31,$123
2010-12-31,$127
2010-09-30,$84
2010-06-30,$83
2010-03-31,$82
2009-12-31,$111
2009-09-30,$77
2009-06-30,$71
2009-03-31,$66
