Modine Manufacturing Quarterly Net Income (Millions of US $),Modine Manufacturing Quarterly Net Income (Millions of US $).1
2024-06-30,$47
2024-03-31,$26
2023-12-31,$44
2023-09-30,$47
2023-06-30,$45
2023-03-31,$90
2022-12-31,$25
2022-09-30,$24
2022-06-30,$14
2022-03-31,$8
2021-12-31,$74
2021-09-30,$0
2021-06-30,$2
2021-03-31,$-15
2020-12-31,$-196
2020-09-30,$9
2020-06-30,$-9
2020-03-31,$-7
2019-12-31,$1
2019-09-30,$-5
2019-06-30,$8
2019-03-31,$6
2018-12-31,$18
2018-09-30,$39
2018-06-30,$22
2018-03-31,$18
2017-12-31,$-28
2017-09-30,$16
2017-06-30,$17
2017-03-31,$8
2016-12-31,$2
2016-09-30,$-4
2016-06-30,$9
2016-03-31,$8
2015-12-31,$8
2015-09-30,$-23
2015-06-30,$5
2015-03-31,$-3
2014-12-31,$10
2014-09-30,$2
2014-06-30,$14
2014-03-31,$119
2013-12-31,$-4
2013-09-30,$5
2013-06-30,$10
2013-03-31,$-2
2012-12-31,$-9
2012-09-30,$-12
2012-06-30,$-1
2012-03-31,$15
2011-12-31,$9
2011-09-30,$1
2011-06-30,$13
2011-03-31,$11
2010-12-31,$6
2010-09-30,$-17
2010-06-30,$5
2010-03-31,$-15
2009-12-31,$4
2009-09-30,$-6
2009-06-30,$-15
2009-03-31,$-48
