Gold Fields Quarterly Net Income (Millions of US $),Gold Fields Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-12-31,
2023-06-30,
2022-12-31,
2022-06-30,
2021-12-31,
2021-06-30,
2020-12-31,
2020-06-30,
2019-12-31,
2019-06-30,
2018-12-31,
2018-06-30,
2017-12-31,
2017-06-30,
2016-12-31,
2015-12-31,$-258
2015-09-30,$18
2015-06-30,$12
2015-03-31,$-14
2014-12-31,$-26
2014-09-30,$19
2014-06-30,$20
2014-03-31,$-0
2013-12-31,$-474
2013-09-30,$1
2013-06-30,$-137
2013-03-31,$314
2012-12-31,$54
2012-09-30,$171
2012-06-30,$198
2012-03-31,$268
2011-12-31,$336
2011-09-30,$293
2011-06-30,$186
2011-03-31,$158
2010-12-31,$-106
2010-09-30,$95
2010-06-30,$120
2010-03-31,$44
2009-12-31,$210
2009-09-30,$129
2009-06-30,$-29
2009-03-31,$163
