HighPeak Energy Quarterly Net Income (Millions of US $),HighPeak Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$30
2024-03-31,$6
2023-12-31,$73
2023-09-30,$39
2023-06-30,$32
2023-03-31,$50
2022-12-31,$52
2022-09-30,$108
2022-06-30,$71
2022-03-31,$-17
2021-12-31,$34
2021-09-30,$7
2021-06-30,$5
2021-03-31,$4
2020-12-31,$-47
2020-09-30,$17
2020-06-30,$10
2020-03-31,$-81
2019-12-31,$-14
2019-09-30,$-1
2019-06-30,$2
2019-03-31,$2
2018-12-31,$2
2018-09-30,$1
2018-06-30,$1
2018-03-31,$-0
2017-12-31,
