Meta Platforms Quarterly Net Income (Millions of US $),Meta Platforms Quarterly Net Income (Millions of US $).1
2024-06-30,"$13,465"
2024-03-31,"$12,369"
2023-12-31,"$14,018"
2023-09-30,"$11,583"
2023-06-30,"$7,788"
2023-03-31,"$5,709"
2022-12-31,"$4,653"
2022-09-30,"$4,395"
2022-06-30,"$6,687"
2022-03-31,"$7,465"
2021-12-31,"$10,285"
2021-09-30,"$9,194"
2021-06-30,"$10,394"
2021-03-31,"$9,497"
2020-12-31,"$11,220"
2020-09-30,"$7,846"
2020-06-30,"$5,178"
2020-03-31,"$4,902"
2019-12-31,"$7,349"
2019-09-30,"$6,091"
2019-06-30,"$2,616"
2019-03-31,"$2,429"
2018-12-31,"$6,881"
2018-09-30,"$5,137"
2018-06-30,"$5,106"
2018-03-31,"$4,987"
2017-12-31,"$4,267"
2017-09-30,"$4,704"
2017-06-30,"$3,890"
2017-03-31,"$3,059"
2016-12-31,"$3,560"
2016-09-30,"$2,620"
2016-06-30,"$2,276"
2016-03-31,"$1,732"
2015-12-31,"$1,554"
2015-09-30,$891
2015-06-30,$715
2015-03-31,$509
2014-12-31,$696
2014-09-30,$802
2014-06-30,$788
2014-03-31,$639
2013-12-31,$521
2013-09-30,$422
2013-06-30,$331
2013-03-31,$217
2012-12-31,$64
2012-09-30,$-59
2012-06-30,$-157
2012-03-31,$137
2011-12-31,$205
2011-09-30,$150
2011-06-30,$159
2011-03-31,$153
2010-12-31,$251
2010-09-30,$131
2010-06-30,$129
2010-03-31,$95
2009-12-31,
