"PT Telekomunikasi Indonesia, Tbk Quarterly Net Income (Millions of US $)","PT Telekomunikasi Indonesia, Tbk Quarterly Net Income (Millions of US $).1"
2024-06-30,
2024-03-31,$363
2023-03-31,$450
2022-03-31,$428
2021-03-31,$421
2020-03-31,$410
2019-03-31,$436
2018-03-31,$573
2017-03-31,$938
2016-03-31,$459
2015-12-31,$437
2015-09-30,$410
2015-06-30,$363
2015-03-31,$381
2014-12-31,$319
2014-06-30,$667
2014-03-31,$328
2013-12-31,$315
2013-09-30,$354
2013-06-30,$361
2013-03-31,$348
2012-12-31,$285
2012-09-30,$393
2012-06-30,$342
2012-03-31,$365
2011-12-31,$271
2011-09-30,$261
2011-06-30,$499
2011-03-31,$325
2010-12-31,$280
2010-09-30,$339
2010-06-30,$357
2010-03-31,$305
2009-12-31,$240
2009-09-30,$370
2009-06-30,$379
2009-03-31,$213
