Coca-Cola Consolidated Quarterly Net Income (Millions of US $),Coca-Cola Consolidated Quarterly Net Income (Millions of US $).1
2024-06-30,$173
2024-03-31,$166
2023-12-31,$76
2023-09-30,$92
2023-06-30,$122
2023-03-31,$118
2022-12-31,$118
2022-09-30,$119
2022-06-30,$100
2022-03-31,$93
2021-12-31,$19
2021-09-30,$69
2021-06-30,$48
2021-03-31,$53
2020-12-31,$66
2020-09-30,$52
2020-06-30,$40
2020-03-31,$15
2019-12-31,$-10
2019-09-30,$13
2019-06-30,$15
2019-03-31,$-7
2018-12-31,$-27
2018-09-30,$25
2018-06-30,$-4
2018-03-31,$-14
2017-12-31,$78
2017-09-30,$17
2017-06-30,$6
2017-03-31,$-5
2016-12-31,$21
2016-09-30,$23
2016-06-30,$16
2016-03-31,$-10
2015-12-31,$4
2015-09-30,$26
2015-06-30,$27
2015-03-31,$2
2014-12-31,$3
2014-09-30,$12
2014-06-30,$14
2014-03-31,$2
2013-12-31,$-5
2013-09-30,$16
2013-06-30,$11
2013-03-31,$5
2012-12-31,$2
2012-09-30,$10
2012-06-30,$11
2012-03-31,$5
2011-12-31,$2
2011-09-30,$10
2011-06-30,$11
2011-03-31,$6
2010-12-31,$4
2010-09-30,$16
2010-06-30,$12
2010-03-31,$5
2009-12-31,$2
2009-09-30,$15
2009-06-30,$12
2009-03-31,$9
