Cogent Biosciences Quarterly Net Income (Millions of US $),Cogent Biosciences Quarterly Net Income (Millions of US $).1
2024-06-30,$-59
2024-03-31,$-58
2023-12-31,$-54
2023-09-30,$-55
2023-06-30,$-44
2023-03-31,$-39
2022-12-31,$-40
2022-09-30,$-35
2022-06-30,$-35
2022-03-31,$-31
2021-12-31,$-25
2021-09-30,$-19
2021-06-30,$-17
2021-03-31,$-12
2020-12-31,$-116
2020-09-30,$-50
2020-06-30,$-7
2020-03-31,$-6
2019-12-31,$2
2019-09-30,$-12
2019-06-30,$-11
2019-03-31,$-12
2018-12-31,$-9
2018-09-30,$-10
2018-06-30,$-9
2018-03-31,$-7
2017-12-31,$-7
2017-09-30,$-7
2017-06-30,$-6
2017-03-31,$-6
2016-12-31,
2015-12-31,
