Bloomin' Brands Quarterly Net Income (Millions of US $),Bloomin' Brands Quarterly Net Income (Millions of US $).1
2024-06-30,$28
2024-03-31,$-84
2023-12-31,$43
2023-09-30,$45
2023-06-30,$68
2023-03-31,$91
2022-12-31,$58
2022-09-30,$32
2022-06-30,$-64
2022-03-31,$76
2021-12-31,$61
2021-09-30,$3
2021-06-30,$83
2021-03-31,$69
2020-12-31,$-14
2020-09-30,$-18
2020-06-30,$-92
2020-03-31,$-38
2019-12-31,$28
2019-09-30,$9
2019-06-30,$29
2019-03-31,$64
2018-12-31,$11
2018-09-30,$4
2018-06-30,$27
2018-03-31,$65
2017-12-31,$12
2017-09-30,$6
2017-06-30,$35
2017-03-31,$49
2016-12-31,$-7
2016-09-30,$21
2016-06-30,$-9
2016-03-31,$34
2015-12-31,$18
2015-09-30,$17
2015-06-30,$32
2015-03-31,$61
2014-12-31,$22
2014-09-30,$-11
2014-06-30,$26
2014-03-31,$54
2013-12-31,$59
2013-09-30,$11
2013-06-30,$75
2013-03-31,$63
2012-12-31,$18
2012-09-30,$-36
2012-06-30,$17
2012-03-31,$50
2011-12-31,$31
2011-09-30,$1
2011-06-30,$14
2011-03-31,$55
2010-12-31,
2009-12-31,
