Archrock Quarterly Net Income (Millions of US $),Archrock Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$41
2023-12-31,$33
2023-09-30,$31
2023-06-30,$25
2023-03-31,$16
2022-12-31,$10
2022-09-30,$15
2022-06-30,$17
2022-03-31,$2
2021-12-31,$6
2021-09-30,$9
2021-06-30,$9
2021-03-31,$4
2020-12-31,$5
2020-09-30,$18
2020-06-30,$-30
2020-03-31,$-61
2019-12-31,$46
2019-09-30,$20
2019-06-30,$11
2019-03-31,$19
2018-12-31,$13
2018-09-30,$10
2018-06-30,$2
2018-03-31,$-4
2017-12-31,$48
2017-09-30,$-10
2017-06-30,$-7
2017-03-31,$-12
2016-12-31,$-39
2016-09-30,$-10
2016-06-30,$-4
2016-03-31,$-2
2015-12-31,$-130
2015-09-30,$-10
2015-06-30,$-24
2015-03-31,$31
2014-12-31,$19
2014-09-30,$34
2014-06-30,$12
2014-03-31,$33
2013-12-31,$23
2013-09-30,$41
2013-06-30,$9
2013-03-31,$50
2012-12-31,$-6
2012-09-30,$113
2012-06-30,$-153
2012-03-31,$5
2011-12-31,$-67
2011-09-30,$-216
2011-06-30,$-28
2011-03-31,$-30
2010-12-31,$-118
2010-09-30,$-18
2010-06-30,$18
2010-03-31,$17
2009-12-31,$23
2009-09-30,$18
2009-06-30,$-531
2009-03-31,$-59
