Cameco Quarterly Net Income (Millions of US $),Cameco Quarterly Net Income (Millions of US $).1
2024-06-30,$26
2024-03-31,$-5
2023-12-31,$59
2023-09-30,$110
2023-06-30,$10
2023-03-31,$88
2022-12-31,$-14
2022-09-30,$-15
2022-06-30,$66
2022-03-31,$32
2021-12-31,$9
2021-09-30,$-57
2021-06-30,$-30
2021-03-31,$-4
2020-12-31,$59
2020-09-30,$-46
2020-06-30,$-38
2020-03-31,$-14
2019-12-31,$97
2019-09-30,$-10
2019-06-30,$-17
2019-03-31,$-14
2018-12-31,$123
2018-09-30,$22
2018-06-30,$-59
2018-03-31,$43
2017-12-31,$-45
2017-09-30,$-99
2017-06-30,$-1
2017-03-31,$-14
2016-12-31,$-106
2016-09-30,$109
2016-06-30,$-107
2016-03-31,$57
2015-12-31,$-7
2015-09-30,$-3
2015-06-30,$72
2015-03-31,$-7
2014-12-31,$58
2014-09-30,$-130
2014-06-30,$117
2014-03-31,$119
2013-12-31,$58
2013-09-30,$202
2013-06-30,$35
2013-03-31,$9
2012-12-31,$45
2012-09-30,$82
2012-06-30,$8
2012-03-31,$134
2011-12-31,$266
2011-09-30,$38
2011-06-30,$56
2011-03-31,$95
2010-12-31,$208
2010-09-30,$98
2010-06-30,$66
2010-03-31,$140
2009-12-31,$571
2009-09-30,$157
2009-06-30,$226
2009-03-31,$69
