ManpowerGroup Quarterly Net Income (Millions of US $),ManpowerGroup Quarterly Net Income (Millions of US $).1
2024-09-30,$23
2024-06-30,$60
2024-03-31,$40
2023-12-31,$-85
2023-09-30,$30
2023-06-30,$65
2023-03-31,$78
2022-12-31,$49
2022-09-30,$111
2022-06-30,$122
2022-03-31,$92
2021-12-31,$111
2021-09-30,$98
2021-06-30,$112
2021-03-31,$62
2020-12-31,$76
2020-09-30,$10
2020-06-30,$-64
2020-03-31,$2
2019-12-31,$139
2019-09-30,$146
2019-06-30,$127
2019-03-31,$54
2018-12-31,$158
2018-09-30,$158
2018-06-30,$143
2018-03-31,$97
2017-12-31,$216
2017-09-30,$138
2017-06-30,$117
2017-03-31,$74
2016-12-31,$127
2016-09-30,$129
2016-06-30,$115
2016-03-31,$72
2015-12-31,$124
2015-09-30,$124
2015-06-30,$106
2015-03-31,$66
2014-12-31,$117
2014-09-30,$131
2014-06-30,$110
2014-03-31,$70
2013-12-31,$101
2013-09-30,$95
2013-06-30,$68
2013-03-31,$24
2012-12-31,$53
2012-09-30,$63
2012-06-30,$41
2012-03-31,$40
2011-12-31,$64
2011-09-30,$80
2011-06-30,$73
2011-03-31,$36
2010-12-31,$-350
2010-09-30,$51
2010-06-30,$33
2010-03-31,$3
2009-12-31,$29
2009-09-30,$-53
2009-06-30,$16
2009-03-31,$-2
