Borr Drilling Quarterly Net Income (Millions of US $),Borr Drilling Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$14
2023-12-31,$28
2023-09-30,$0
2023-06-30,$1
2023-03-31,$-7
2022-12-31,$-21
2022-09-30,$-55
2022-06-30,$-165
2022-03-31,$-51
2021-12-31,$-46
2021-09-30,$-33
2021-06-30,$-60
2021-03-31,$-54
2020-12-31,$-59
2020-09-30,$-62
2020-06-30,$-110
2020-03-31,$-87
2019-12-31,$-60
2019-09-30,$-79
2019-06-30,$-103
2019-03-31,$-55
2018-12-31,$-111
2018-09-30,$-39
2018-06-30,$-7
2018-03-31,$-34
2017-12-31,
