Becton Dickinson Quarterly Net Income (Millions of US $),Becton Dickinson Quarterly Net Income (Millions of US $).1
2024-06-30,$487
2024-03-31,$537
2023-12-31,$281
2023-09-30,$108
2023-06-30,$392
2023-03-31,$438
2022-12-31,$486
2022-09-30,$265
2022-06-30,$338
2022-03-31,$431
2021-12-31,$655
2021-09-30,$242
2021-06-30,$502
2021-03-31,$277
2020-12-31,$981
2020-09-30,$105
2020-06-30,$277
2020-03-31,$145
2019-12-31,$240
2019-09-30,$125
2019-06-30,$413
2019-03-31,$-18
2018-12-31,$562
2018-09-30,$-173
2018-06-30,$556
2018-03-31,$-50
2017-12-31,$-174
2017-09-30,$289
2017-06-30,$-165
2017-03-31,$344
2016-12-31,$562
2016-09-30,$19
2016-06-30,$390
2016-03-31,$338
2015-12-31,$229
2015-09-30,$181
2015-06-30,$62
2015-03-31,$216
2014-12-31,$236
2014-09-30,$301
2014-06-30,$326
2014-03-31,$287
2013-12-31,$271
2013-09-30,$90
2013-06-30,$302
2013-03-31,$276
2012-12-31,$625
2012-09-30,$289
2012-06-30,$327
2012-03-31,$291
2011-12-31,$263
2011-09-30,$300
2011-06-30,$343
2011-03-31,$312
2010-12-31,$316
2010-09-30,$397
2010-06-30,$307
2010-03-31,$298
2009-12-31,$316
2009-09-30,$317
2009-06-30,$341
2009-03-31,$261
