LTC Properties Quarterly Net Income (Millions of US $),LTC Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$19
2024-03-31,$24
2023-12-31,$28
2023-09-30,$22
2023-06-30,$6
2023-03-31,$33
2022-12-31,$18
2022-09-30,$13
2022-06-30,$54
2022-03-31,$14
2021-12-31,$13
2021-09-30,$11
2021-06-30,$18
2021-03-31,$14
2020-12-31,$18
2020-09-30,$12
2020-06-30,$2
2020-03-31,$63
2019-12-31,$12
2019-09-30,$27
2019-06-30,$20
2019-03-31,$20
2018-12-31,$31
2018-09-30,$35
2018-06-30,$69
2018-03-31,$20
2017-12-31,$20
2017-09-30,$21
2017-06-30,$25
2017-03-31,$21
2016-12-31,$21
2016-09-30,$22
2016-06-30,$22
2016-03-31,$20
2015-12-31,$18
2015-09-30,$19
2015-06-30,$17
2015-03-31,$17
2014-12-31,$20
2014-09-30,$16
2014-06-30,$17
2014-03-31,$16
2013-12-31,$14
2013-09-30,$16
2013-06-30,$12
2013-03-31,$12
2012-12-31,$12
2012-09-30,$12
2012-06-30,$12
2012-03-31,$12
2011-12-31,$12
2011-09-30,$11
2011-06-30,$11
2011-03-31,$5
2010-12-31,$10
2010-09-30,$6
2010-06-30,$8
2010-03-31,$7
2009-12-31,$7
2009-09-30,$7
2009-06-30,$7
2009-03-31,$8
