Bicycle Therapeutics Quarterly Net Income (Millions of US $),Bicycle Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-40
2024-03-31,$-27
2023-12-31,$-49
2023-09-30,$-50
2023-06-30,$-43
2023-03-31,$-39
2022-12-31,$-30
2022-09-30,$-28
2022-06-30,$-27
2022-03-31,$-28
2021-12-31,$-18
2021-09-30,$-15
2021-06-30,$-18
2021-03-31,$-16
2020-12-31,$-17
2020-09-30,$-10
2020-06-30,$-12
2020-03-31,$-11
2019-12-31,$-4
2019-09-30,$-9
2019-06-30,$-10
2019-03-31,$-7
2018-12-31,$-7
2018-09-30,$-8
2018-06-30,$-5
2018-03-31,$-3
2017-12-31,
