First Hawaiian Quarterly Net Income (Millions of US $),First Hawaiian Quarterly Net Income (Millions of US $).1
2024-06-30,$62
2024-03-31,$54
2023-12-31,$48
2023-09-30,$58
2023-06-30,$62
2023-03-31,$67
2022-12-31,$80
2022-09-30,$69
2022-06-30,$59
2022-03-31,$58
2021-12-31,$57
2021-09-30,$64
2021-06-30,$87
2021-03-31,$58
2020-12-31,$62
2020-09-30,$65
2020-06-30,$20
2020-03-31,$39
2019-12-31,$68
2019-09-30,$74
2019-06-30,$72
2019-03-31,$70
2018-12-31,$60
2018-09-30,$67
2018-06-30,$69
2018-03-31,$68
2017-12-31,$12
2017-09-30,$58
2017-06-30,$57
2017-03-31,$57
2016-12-31,$57
2016-09-30,$53
2016-06-30,$55
2016-03-31,$66
2015-12-31,
2015-09-30,$55
2015-06-30,$55
2014-12-31,
