Akero Therapeutics Quarterly Net Income (Millions of US $),Akero Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-56
2024-03-31,$-53
2023-12-31,$-55
2023-09-30,$-40
2023-06-30,$-31
2023-03-31,$-26
2022-12-31,$-23
2022-09-30,$-36
2022-06-30,$-27
2022-03-31,$-26
2021-12-31,$-32
2021-09-30,$-24
2021-06-30,$-29
2021-03-31,$-15
2020-12-31,$-30
2020-09-30,$-21
2020-06-30,$-16
2020-03-31,$-12
2019-12-31,$-16
2019-09-30,$-16
2019-06-30,$-7
2019-03-31,$-5
2018-12-31,
2018-09-30,$-11
2018-06-30,$-9
