OGE Energy Quarterly Net Income (Millions of US $),OGE Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$102
2024-03-31,$19
2023-12-31,$48
2023-09-30,$242
2023-06-30,$88
2023-03-31,$38
2022-12-31,$50
2022-09-30,$263
2022-06-30,$73
2022-03-31,$280
2021-12-31,$319
2021-09-30,$253
2021-06-30,$113
2021-03-31,$53
2020-12-31,$55
2020-09-30,$177
2020-06-30,$86
2020-03-31,$-492
2019-12-31,$35
2019-09-30,$251
2019-06-30,$100
2019-03-31,$47
2018-12-31,$55
2018-09-30,$205
2018-06-30,$111
2018-03-31,$55
2017-12-31,$295
2017-09-30,$183
2017-06-30,$105
2017-03-31,$36
2016-12-31,$58
2016-09-30,$184
2016-06-30,$72
2016-03-31,$25
2015-12-31,$29
2015-09-30,$111
2015-06-30,$88
2015-03-31,$43
2014-12-31,$58
2014-09-30,$187
2014-06-30,$101
2014-03-31,$49
2013-12-31,$58
2013-09-30,$215
2013-06-30,$92
2013-03-31,$23
2012-12-31,$39
2012-09-30,$186
2012-06-30,$94
2012-03-31,$37
2011-12-31,$36
2011-09-30,$179
2011-06-30,$103
2011-03-31,$25
2010-12-31,$31
2010-09-30,$163
2010-06-30,$77
2010-03-31,$24
2009-12-31,$34
2009-09-30,$137
2009-06-30,$71
2009-03-31,$17
