Vermilion Energy Quarterly Net Income (Millions of US $),Vermilion Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$-60
2024-03-31,$2
2023-12-31,$-595
2023-09-30,$43
2023-06-30,$95
2023-03-31,$281
2022-12-31,$294
2022-09-30,$208
2022-06-30,$284
2022-03-31,$224
2021-12-31,$271
2021-09-30,$-117
2021-06-30,$367
2021-03-31,$395
2020-12-31,$-46
2020-09-30,$-52
2020-06-30,$-51
2020-03-31,$-983
2019-12-31,$1
2019-09-30,$-8
2019-06-30,$1
2019-03-31,$30
2018-12-31,$248
2018-09-30,$-12
2018-06-30,$-47
2018-03-31,$20
2017-12-31,$10
2017-09-30,$-31
2017-06-30,$36
2017-03-31,$34
2016-12-31,$-4
2016-09-30,$-11
2016-06-30,$-43
2016-03-31,$-63
2015-12-31,$-106
2015-09-30,$-63
2015-06-30,$6
2015-03-31,$1
2014-12-31,$47
2014-09-30,$48
2014-06-30,$50
2014-03-31,$94
2013-12-31,$92
2013-09-30,$65
2013-06-30,$103
2013-03-31,$52
2012-12-31,$55
2012-09-30,$31
2012-06-30,$38
2012-03-31,$66
2011-12-31,$-31
2011-09-30,$64
