Prologis Quarterly Net Income (Millions of US $),Prologis Quarterly Net Income (Millions of US $).1
2024-06-30,$860
2024-03-31,$584
2023-12-31,$629
2023-09-30,$746
2023-06-30,"$1,215"
2023-03-31,$463
2022-12-31,$586
2022-09-30,"$1,014"
2022-06-30,$610
2022-03-31,"$1,149"
2021-12-31,"$1,247"
2021-09-30,$722
2021-06-30,$599
2021-03-31,$366
2020-12-31,$280
2020-09-30,$299
2020-06-30,$405
2020-03-31,$489
2019-12-31,$385
2019-09-30,$451
2019-06-30,$384
2019-03-31,$347
2018-12-31,$597
2018-09-30,$346
2018-06-30,$335
2018-03-31,$366
2017-12-31,$296
2017-09-30,$876
2017-06-30,$267
2017-03-31,$203
2016-12-31,$441
2016-09-30,$279
2016-06-30,$275
2016-03-31,$208
2015-12-31,$118
2015-09-30,$259
2015-06-30,$140
2015-03-31,$345
2014-12-31,$409
2014-09-30,$136
2014-06-30,$73
2014-03-31,$5
2013-12-31,$59
2013-09-30,$-8
2013-06-30,$-2
2013-03-31,$265
2012-12-31,$-229
2012-09-30,$-47
2012-06-30,$-8
2012-03-31,$202
2011-12-31,$-45
2011-09-30,$55
2011-06-30,$-151
2011-03-31,$-47
2010-12-31,"$-1,253"
2010-09-30,$-15
2010-06-30,$-23
2010-03-31,$-4
2009-12-31,$40
2009-09-30,$63
2009-06-30,$17
2009-03-31,$-123
