Harmony Gold Mining Quarterly Net Income (Millions of US $),Harmony Gold Mining Quarterly Net Income (Millions of US $).1
2023-12-31,
2015-12-31,$5
2015-09-30,$-40
2015-06-30,$-261
2015-03-31,$-22
2014-12-31,$-79
2014-09-30,$-25
2014-06-30,$-116
2014-03-31,$3
2013-12-31,$-10
2013-09-30,$1
2013-06-30,$-370
2013-03-31,$-13
2012-12-31,$84
2012-09-30,$63
2012-06-30,$6
2012-03-31,$132
2011-12-31,$137
2011-09-30,$61
2011-06-30,$-6
2011-03-31,$34
2010-12-31,$46
2010-09-30,$14
2010-06-30,$2
2010-03-31,$-40
2009-12-31,$15
2009-09-30,$-4
2009-06-30,$28
2009-03-31,$98
