PagSeguro Digital Quarterly Net Income (Millions of US $),PagSeguro Digital Quarterly Net Income (Millions of US $).1
2024-06-30,$96
2024-03-31,$97
2023-12-31,$98
2023-09-30,$84
2023-06-30,$78
2023-03-31,$71
2022-12-31,$77
2022-09-30,$73
2022-06-30,$75
2022-03-31,$67
2021-12-31,$54
2021-09-30,$62
2021-06-30,$51
2021-03-31,$50
2020-12-31,$66
2020-09-30,$49
2020-06-30,$55
2020-03-31,$81
2019-12-31,$95
2019-09-30,$86
2019-06-30,$82
2019-03-31,$82
2018-12-31,$81
2018-09-30,$59
2018-06-30,$63
2018-03-31,$46
2017-12-31,
2017-09-30,
2016-12-31,
