ACM Research Quarterly Net Income (Millions of US $),ACM Research Quarterly Net Income (Millions of US $).1
2024-06-30,$24
2024-03-31,$17
2023-12-31,$18
2023-09-30,$26
2023-06-30,$27
2023-03-31,$7
2022-12-31,$12
2022-09-30,$21
2022-06-30,$12
2022-03-31,$-6
2021-12-31,$16
2021-09-30,$10
2021-06-30,$7
2021-03-31,$5
2020-12-31,$9
2020-09-30,$9
2020-06-30,$-0
2020-03-31,$2
2019-12-31,$4
2019-09-30,$9
2019-06-30,$4
2019-03-31,$2
2018-12-31,$2
2018-09-30,$4
2018-06-30,$3
2018-03-31,$-3
2017-12-31,$3
2017-09-30,$-1
2017-06-30,$-1
2017-03-31,$-2
2016-12-31,
2016-09-30,$0
2015-12-31,
