Otter Tail Quarterly Net Income (Millions of US $),Otter Tail Quarterly Net Income (Millions of US $).1
2024-06-30,$87
2024-03-31,$74
2023-12-31,$58
2023-09-30,$92
2023-06-30,$82
2023-03-31,$62
2022-12-31,$42
2022-09-30,$84
2022-06-30,$86
2022-03-31,$72
2021-12-31,$52
2021-09-30,$53
2021-06-30,$42
2021-03-31,$30
2020-12-31,$19
2020-09-30,$36
2020-06-30,$17
2020-03-31,$24
2019-12-31,$20
2019-09-30,$25
2019-06-30,$15
2019-03-31,$26
2018-12-31,$14
2018-09-30,$23
2018-06-30,$19
2018-03-31,$26
2017-12-31,$18
2017-09-30,$18
2017-06-30,$17
2017-03-31,$20
2016-12-31,$18
2016-09-30,$15
2016-06-30,$16
2016-03-31,$15
2015-12-31,$15
2015-09-30,$15
2015-06-30,$11
2015-03-31,$18
2014-12-31,$10
2014-09-30,$16
2014-06-30,$10
2014-03-31,$21
2013-12-31,$13
2013-09-30,$15
2013-06-30,$8
2013-03-31,$15
2012-12-31,$3
2012-09-30,$2
2012-06-30,$-18
2012-03-31,$7
2011-12-31,$-44
2011-09-30,$6
2011-06-30,$18
2011-03-31,$6
2010-12-31,$2
2010-09-30,$6
2010-06-30,$-14
2010-03-31,$5
2009-12-31,$8
2009-09-30,$10
2009-06-30,$3
2009-03-31,$4
