Two Harbors Investments Corp Quarterly Net Income (Millions of US $),Two Harbors Investments Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$44
2024-03-31,$192
2023-12-31,$-442
2023-09-30,$292
2023-06-30,$187
2023-03-31,$-189
2022-12-31,$-261
2022-09-30,$262
2022-06-30,$-86
2022-03-31,$272
2021-12-31,$-15
2021-09-30,$53
2021-06-30,$-132
2021-03-31,$223
2020-12-31,$192
2020-09-30,$183
2020-06-30,$-193
2020-03-31,"$-1,889"
2019-12-31,$116
2019-09-30,$287
2019-06-30,$-110
2019-03-31,$-45
2018-12-31,$-573
2018-09-30,$17
2018-06-30,$126
2018-03-31,$321
2017-12-31,$154
2017-09-30,$93
2017-06-30,$4
2017-03-31,$72
2016-12-31,$341
2016-09-30,$118
2016-06-30,$-17
2016-03-31,$-89
2015-12-31,$211
2015-09-30,$-35
2015-06-30,$222
2015-03-31,$95
2014-12-31,$-37
2014-09-30,$194
2014-06-30,$40
2014-03-31,$-29
2013-12-31,$239
2013-09-30,$-193
2013-06-30,$389
2013-03-31,$144
2012-12-31,$189
2012-09-30,$27
2012-06-30,$24
2012-03-31,$52
2011-12-31,$51
2011-09-30,$55
2011-06-30,$-1
2011-03-31,$22
2010-12-31,$16
2010-09-30,$10
2010-06-30,$4
2010-03-31,$5
2009-12-31,$-6
2009-09-30,$-1
2009-06-30,$-1
2009-03-31,$-0
