Hasbro Quarterly Net Income (Millions of US $),Hasbro Quarterly Net Income (Millions of US $).1
2024-06-30,$139
2024-03-31,$58
2023-12-31,"$-1,061"
2023-09-30,$-171
2023-06-30,$-235
2023-03-31,$-22
2022-12-31,$-129
2022-09-30,$129
2022-06-30,$142
2022-03-31,$61
2021-12-31,$82
2021-09-30,$253
2021-06-30,$-23
2021-03-31,$116
2020-12-31,$105
2020-09-30,$221
2020-06-30,$-34
2020-03-31,$-70
2019-12-31,$267
2019-09-30,$213
2019-06-30,$13
2019-03-31,$27
2018-12-31,$9
2018-09-30,$264
2018-06-30,$60
2018-03-31,$-112
2017-12-31,$-5
2017-09-30,$266
2017-06-30,$68
2017-03-31,$69
2016-12-31,$193
2016-09-30,$258
2016-06-30,$52
2016-03-31,$49
2015-12-31,$176
2015-09-30,$208
2015-06-30,$42
2015-03-31,$27
2014-12-31,$170
2014-09-30,$180
2014-06-30,$33
2014-03-31,$32
2013-12-31,$130
2013-09-30,$127
2013-06-30,$36
2013-03-31,$-7
2012-12-31,$130
2012-09-30,$165
2012-06-30,$43
2012-03-31,$-3
2011-12-31,$139
2011-09-30,$171
2011-06-30,$58
2011-03-31,$17
2010-12-31,$140
2010-09-30,$155
2010-06-30,$44
2010-03-31,$59
2009-12-31,$166
2009-09-30,$150
2009-06-30,$39
2009-03-31,$20
