DigitalBridge Quarterly Net Income (Millions of US $),DigitalBridge Quarterly Net Income (Millions of US $).1
2024-06-30,$77
2024-03-31,$-44
2023-12-31,$101
2023-09-30,$262
2023-06-30,$-22
2023-03-31,$-212
2022-12-31,$-19
2022-09-30,$-63
2022-06-30,$-37
2022-03-31,$-262
2021-12-31,$-21
2021-09-30,$41
2021-06-30,$-141
2021-03-31,$-265
2020-12-31,$-141
2020-09-30,$-206
2020-06-30,"$-2,043"
2020-03-31,$-362
2019-12-31,$-26
2019-09-30,$-555
2019-06-30,$-469
2019-03-31,$-102
2018-12-31,$-397
2018-09-30,$-70
2018-06-30,$-93
2018-03-31,$-73
2017-12-31,$-368
2017-09-30,$2
2017-06-30,$39
2017-03-31,$-5
2016-12-31,$-17
2016-09-30,$23
2016-06-30,$43
2016-03-31,$18
2015-12-31,$6
2015-09-30,$41
2015-06-30,$38
2015-03-31,$22
2014-12-31,$31
2014-09-30,$19
2014-06-30,$-22
2014-03-31,$-8
2013-12-31,
2013-09-30,$2
2013-06-30,$-2
2012-12-31,
2011-12-31,
