JELD-WEN Holding Quarterly Net Income (Millions of US $),JELD-WEN Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$-18
2024-03-31,$-28
2023-12-31,$-35
2023-09-30,$44
2023-06-30,$38
2023-03-31,$15
2022-12-31,$34
2022-09-30,$-33
2022-06-30,$46
2022-03-31,$-1
2021-12-31,$42
2021-09-30,$41
2021-06-30,$61
2021-03-31,$25
2020-12-31,$43
2020-09-30,$25
2020-06-30,$23
2020-03-31,$-0
2019-12-31,$8
2019-09-30,$17
2019-06-30,$22
2019-03-31,$16
2018-12-31,$38
2018-09-30,$29
2018-06-30,$35
2018-03-31,$40
2017-12-31,$-96
2017-09-30,$51
2017-06-30,$47
2017-03-31,$-4
2016-12-31,$-30
2016-09-30,$16
2016-06-30,$15
2016-03-31,$-20
2015-12-31,
2015-09-30,$-310
2014-12-31,
2013-12-31,
