Par Pacific Holdings Quarterly Net Income (Millions of US $),Par Pacific Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$19
2024-03-31,$-4
2023-12-31,$289
2023-09-30,$171
2023-06-30,$30
2023-03-31,$238
2022-12-31,$85
2022-09-30,$267
2022-06-30,$149
2022-03-31,$-137
2021-12-31,$8
2021-09-30,$82
2021-06-30,$-109
2021-03-31,$-62
2020-12-31,$-132
2020-09-30,$-14
2020-06-30,$-41
2020-03-31,$-222
2019-12-31,$36
2019-09-30,$-84
2019-06-30,$28
2019-03-31,$61
2018-12-31,$14
2018-09-30,$-6
2018-06-30,$16
2018-03-31,$15
2017-12-31,$17
2017-09-30,$21
2017-06-30,$7
2017-03-31,$27
2016-12-31,$14
2016-09-30,$-28
2016-06-30,$-13
2016-03-31,$-19
2015-12-31,$-67
2015-09-30,$15
2015-06-30,$12
2015-03-31,$0
2014-12-31,$32
2014-09-30,$-39
2014-06-30,$-25
2014-03-31,$-15
2013-12-31,$-51
2013-09-30,$-15
2013-06-30,$-9
2013-03-31,$-5
2012-12-31,$-7
2012-09-30,$-18
2012-06-30,$-16
2012-03-31,$-13
2011-12-31,$-12
2011-09-30,$-429
2011-06-30,$-1
2011-03-31,$-28
2010-12-31,$-34
2010-09-30,$14
2010-06-30,$-150
2010-03-31,$-13
2009-12-31,$-34
2009-09-30,$-97
2009-06-30,$-172
2009-03-31,$-26
