Manchester United Quarterly Net Income (Millions of US $),Manchester United Quarterly Net Income (Millions of US $).1
2024-06-30,$-45
2024-03-31,$-91
2023-12-31,$25
2023-09-30,$-33
2023-06-30,$-4
2023-03-31,$-7
2022-12-31,$7
2022-09-30,$-31
2022-06-30,$-93
2022-03-31,$-37
2021-12-31,$-2
2021-09-30,$-21
2021-06-30,$-144
2021-03-31,$-25
2020-12-31,$84
2020-09-30,$-39
2020-06-30,$-47
2020-03-31,$-29
2019-12-31,$45
2019-09-30,$1
2019-06-30,$-29
2019-03-31,$10
2018-12-31,$34
2018-09-30,$9
2018-06-30,$-22
2018-03-31,$0
2017-12-31,$-39
2017-09-30,$10
2017-06-30,$31
2017-03-31,$-5
2016-12-31,$22
2016-09-30,$2
2016-06-30,$-1
2016-03-31,$20
2015-12-31,$28
2015-09-30,$8
2015-06-30,$-11
2015-03-31,$-5
2014-12-31,$-0
2014-09-30,$14
2014-06-30,$-9
2014-03-31,$18
2013-12-31,$31
2013-09-30,$-0
2013-06-30,$169
2013-03-31,$6
2012-12-31,$25
2012-09-30,$32
2012-06-30,$-24
2012-03-31,$2
2011-12-31,$67
2011-09-30,$-6
2011-06-30,$-1
