World Kinect Quarterly Net Income (Millions of US $),World Kinect Quarterly Net Income (Millions of US $).1
2024-06-30,$108
2024-03-31,$27
2023-12-31,$-35
2023-09-30,$35
2023-06-30,$30
2023-03-31,$23
2022-12-31,$21
2022-09-30,$43
2022-06-30,$24
2022-03-31,$26
2021-12-31,$16
2021-09-30,$22
2021-06-30,$18
2021-03-31,$19
2020-12-31,$-4
2020-09-30,$82
2020-06-30,$-10
2020-03-31,$41
2019-12-31,$57
2019-09-30,$48
2019-06-30,$37
2019-03-31,$37
2018-12-31,$30
2018-09-30,$38
2018-06-30,$29
2018-03-31,$31
2017-12-31,$-193
2017-09-30,$-39
2017-06-30,$30
2017-03-31,$31
2016-12-31,$2
2016-09-30,$43
2016-06-30,$30
2016-03-31,$52
2015-12-31,$45
2015-09-30,$44
2015-06-30,$31
2015-03-31,$56
2014-12-31,$70
2014-09-30,$56
2014-06-30,$48
2014-03-31,$51
2013-12-31,$52
2013-09-30,$51
2013-06-30,$51
2013-03-31,$49
2012-12-31,$43
2012-09-30,$51
2012-06-30,$49
2012-03-31,$46
2011-12-31,$50
2011-09-30,$53
2011-06-30,$50
2011-03-31,$41
2010-12-31,$39
2010-09-30,$37
2010-06-30,$37
2010-03-31,$34
2009-12-31,$34
2009-09-30,$29
2009-06-30,$28
2009-03-31,$26
