Entergy Quarterly Net Income (Millions of US $),Entergy Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$75
2023-12-31,$988
2023-09-30,$667
2023-06-30,$391
2023-03-31,$311
2022-12-31,$106
2022-09-30,$561
2022-06-30,$160
2022-03-31,$276
2021-12-31,$259
2021-09-30,$531
2021-06-30,$-6
2021-03-31,$335
2020-12-31,$388
2020-09-30,$521
2020-06-30,$361
2020-03-31,$119
2019-12-31,$385
2019-09-30,$365
2019-06-30,$236
2019-03-31,$255
2018-12-31,$-66
2018-09-30,$536
2018-06-30,$245
2018-03-31,$133
2017-12-31,$-479
2017-09-30,$398
2017-06-30,$410
2017-03-31,$83
2016-12-31,"$-1,769"
2016-09-30,$388
2016-06-30,$567
2016-03-31,$230
2015-12-31,$100
2015-09-30,$-723
2015-06-30,$149
2015-03-31,$298
2014-12-31,$120
2014-09-30,$230
2014-06-30,$189
2014-03-31,$401
2013-12-31,$147
2013-09-30,$240
2013-06-30,$164
2013-03-31,$161
2012-12-31,$296
2012-09-30,$337
2012-06-30,$365
2012-03-31,$-152
2011-12-31,$154
2011-09-30,$628
2011-06-30,$316
2011-03-31,$249
2010-12-31,$228
2010-09-30,$493
2010-06-30,$315
2010-03-31,$214
2009-12-31,$314
2009-09-30,$455
2009-06-30,$227
2009-03-31,$235
