MidCap Financial Investment Quarterly Net Income (Millions of US $),MidCap Financial Investment Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$25
2023-12-31,$33
2023-09-30,$30
2023-06-30,$25
2023-03-31,$30
2022-12-31,
2022-09-30,$16
2022-06-30,$6
2022-03-31,$4
2021-12-31,$21
2021-09-30,$25
2021-06-30,$32
2021-03-31,
2020-12-31,$33
2020-09-30,$33
2020-06-30,$3
2020-03-31,
2019-12-31,$0
2019-09-30,$7
2019-06-30,$24
2019-03-31,
2018-12-31,$-1
2018-09-30,$28
2018-06-30,$13
2018-03-31,
2017-12-31,$6
2017-09-30,$32
2017-06-30,$29
2017-03-31,
2016-12-31,$11
2016-09-30,$41
2016-06-30,$-42
2016-03-31,
2015-12-31,$-26
2015-09-30,$-2
2015-06-30,$6
2015-03-31,
2014-12-31,$-19
2014-09-30,$42
2014-06-30,$65
2014-03-31,
2013-12-31,$106
2013-09-30,$76
2013-06-30,$19
2013-03-31,
2012-12-31,$-23
2012-09-30,$73
2012-06-30,$-12
2012-03-31,
2011-12-31,$64
2011-09-30,$-267
2011-06-30,$0
2011-03-31,
2010-12-31,$85
2010-09-30,$68
2010-06-30,$-84
2010-03-31,
2009-12-31,$80
2009-09-30,$109
2009-06-30,$84
2009-03-31,
