Darling Ingredients Quarterly Net Income (Millions of US $),Darling Ingredients Quarterly Net Income (Millions of US $).1
2024-06-30,$79
2024-03-31,$81
2023-12-31,$85
2023-09-30,$125
2023-06-30,$252
2023-03-31,$186
2022-12-31,$157
2022-09-30,$191
2022-06-30,$202
2022-03-31,$188
2021-12-31,$156
2021-09-30,$147
2021-06-30,$197
2021-03-31,$152
2020-12-31,$45
2020-09-30,$101
2020-06-30,$65
2020-03-31,$86
2019-12-31,$243
2019-09-30,$26
2019-06-30,$26
2019-03-31,$18
2018-12-31,$41
2018-09-30,$-6
2018-06-30,$-30
2018-03-31,$97
2017-12-31,$106
2017-09-30,$8
2017-06-30,$9
2017-03-31,$6
2016-12-31,$41
2016-09-30,$29
2016-06-30,$32
2016-03-31,$1
2015-12-31,$84
2015-09-30,$-9
2015-06-30,$3
2015-03-31,$0
2014-12-31,$70
2014-09-30,$14
2014-06-30,$33
2014-03-31,$-53
2013-12-31,$22
2013-09-30,$28
2013-06-30,$26
2013-03-31,$32
2012-12-31,$29
2012-09-30,$37
2012-06-30,$36
2012-03-31,$29
2011-12-31,$29
2011-09-30,$41
2011-06-30,$52
2011-03-31,$47
2010-12-31,$10
2010-09-30,$11
2010-06-30,$11
2010-03-31,$11
2009-12-31,$9
2009-09-30,$16
2009-06-30,$12
2009-03-31,$5
