SPX Technologies Quarterly Net Income (Millions of US $),SPX Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$44
2024-03-31,$49
2023-12-31,$32
2023-09-30,$-20
2023-06-30,$36
2023-03-31,$43
2022-12-31,$-27
2022-09-30,$3
2022-06-30,$13
2022-03-31,$11
2021-12-31,$6
2021-09-30,$330
2021-06-30,$62
2021-03-31,$27
2020-12-31,$26
2020-09-30,$23
2020-06-30,$27
2020-03-31,$23
2019-12-31,$31
2019-09-30,$22
2019-06-30,$19
2019-03-31,$-1
2018-12-31,$39
2018-09-30,$7
2018-06-30,$23
2018-03-31,$12
2017-12-31,$59
2017-09-30,$22
2017-06-30,$-9
2017-03-31,$17
2016-12-31,$-86
2016-09-30,$2
2016-06-30,$-14
2016-03-31,$13
2015-12-31,$-10
2015-09-30,$-105
2015-06-30,$39
2015-03-31,$-7
2014-12-31,$-37
2014-09-30,$63
2014-06-30,$51
2014-03-31,$318
2013-12-31,$87
2013-09-30,$69
2013-06-30,$45
2013-03-31,$9
2012-12-31,$62
2012-09-30,$58
2012-06-30,$47
2012-03-31,$14
2011-12-31,$53
2011-09-30,$61
2011-06-30,$34
2011-03-31,$23
2010-12-31,$65
2010-09-30,$39
2010-06-30,$79
2010-03-31,$22
2009-12-31,$-72
2009-09-30,$46
2009-06-30,$33
2009-03-31,$24
