O-I Glass Quarterly Net Income (Millions of US $),O-I Glass Quarterly Net Income (Millions of US $).1
2024-06-30,$57
2024-03-31,$72
2023-12-31,$-470
2023-09-30,$51
2023-06-30,$110
2023-03-31,$206
2022-12-31,$13
2022-09-30,$231
2022-06-30,$252
2022-03-31,$88
2021-12-31,$43
2021-09-30,$85
2021-06-30,$118
2021-03-31,$-97
2020-12-31,$-28
2020-09-30,$328
2020-06-30,$-101
2020-03-31,$50
2019-12-31,$31
2019-09-30,$-575
2019-06-30,$65
2019-03-31,$79
2018-12-31,$-11
2018-09-30,$120
2018-06-30,$50
2018-03-31,$98
2017-12-31,$-135
2017-09-30,$126
2017-06-30,$140
2017-03-31,$49
2016-12-31,$-71
2016-09-30,$108
2016-06-30,$105
2016-03-31,$67
2015-12-31,$7
2015-09-30,$17
2015-06-30,$40
2015-03-31,$71
2014-12-31,$-111
2014-09-30,$60
2014-06-30,$114
2014-03-31,$101
2013-12-31,$-14
2013-09-30,$130
2013-06-30,$132
2013-03-31,$69
2012-12-31,$-160
2012-09-30,$90
2012-06-30,$133
2012-03-31,$121
2011-12-31,$-771
2011-09-30,$116
2011-06-30,$73
2011-03-31,$82
2010-12-31,$-410
2010-09-30,$139
2010-06-30,$141
2010-03-31,$85
2009-12-31,$-159
2009-09-30,$127
2009-06-30,$149
2009-03-31,$45
