Gibraltar Industries Quarterly Net Income (Millions of US $),Gibraltar Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$25
2023-12-31,$19
2023-09-30,$39
2023-06-30,$31
2023-03-31,$21
2022-12-31,$3
2022-09-30,$34
2022-06-30,$29
2022-03-31,$15
2021-12-31,$9
2021-09-30,$28
2021-06-30,$26
2021-03-31,$13
2020-12-31,$-9
2020-09-30,$34
2020-06-30,$27
2020-03-31,$12
2019-12-31,$14
2019-09-30,$24
2019-06-30,$20
2019-03-31,$6
2018-12-31,$13
2018-09-30,$20
2018-06-30,$23
2018-03-31,$8
2017-12-31,$25
2017-09-30,$21
2017-06-30,$13
2017-03-31,$4
2016-12-31,$-8
2016-09-30,$14
2016-06-30,$19
2016-03-31,$9
2015-12-31,$0
2015-09-30,$14
2015-06-30,$4
2015-03-31,$6
2014-12-31,$-96
2014-09-30,$10
2014-06-30,$6
2014-03-31,$-2
2013-12-31,$4
2013-09-30,$-14
2013-06-30,$8
2013-03-31,$-4
2012-12-31,$-4
2012-09-30,$7
2012-06-30,$8
2012-03-31,$1
2011-12-31,$-7
2011-09-30,$7
2011-06-30,$8
2011-03-31,$8
2010-12-31,$-75
2010-09-30,$1
2010-06-30,$3
2010-03-31,$-21
2009-12-31,$-29
2009-09-30,$5
2009-06-30,$0
2009-03-31,$-28
