RPC Quarterly Net Income (Millions of US $),RPC Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$27
2023-12-31,$40
2023-09-30,$18
2023-06-30,$64
2023-03-31,$70
2022-12-31,$86
2022-09-30,$68
2022-06-30,$46
2022-03-31,$15
2021-12-31,$12
2021-09-30,$5
2021-06-30,$-1
2021-03-31,$-10
2020-12-31,$-10
2020-09-30,$-16
2020-06-30,$-25
2020-03-31,$-160
2019-12-31,$-23
2019-09-30,$-69
2019-06-30,$6
2019-03-31,$-1
2018-12-31,$13
2018-09-30,$49
2018-06-30,$59
2018-03-31,$52
2017-12-31,$57
2017-09-30,$57
2017-06-30,$43
2017-03-31,$4
2016-12-31,$-21
2016-09-30,$-39
2016-06-30,$-49
2016-03-31,$-33
2015-12-31,$-38
2015-09-30,$-35
2015-06-30,$-34
2015-03-31,$8
2014-12-31,$78
2014-09-30,$65
2014-06-30,$63
2014-03-31,$39
2013-12-31,$38
2013-09-30,$54
2013-06-30,$40
2013-03-31,$35
2012-12-31,$55
2012-09-30,$66
2012-06-30,$72
2012-03-31,$81
2011-12-31,$75
2011-09-30,$83
2011-06-30,$73
2011-03-31,$66
2010-12-31,$55
2010-09-30,$46
2010-06-30,$32
2010-03-31,$13
2009-12-31,$-5
2009-09-30,$-10
2009-06-30,$-12
2009-03-31,$4
