Woodward Quarterly Net Income (Millions of US $),Woodward Quarterly Net Income (Millions of US $).1
2024-06-30,$102
2024-03-31,$98
2023-12-31,$90
2023-09-30,$83
2023-06-30,$85
2023-03-31,$36
2022-12-31,$30
2022-09-30,$54
2022-06-30,$39
2022-03-31,$48
2021-12-31,$30
2021-09-30,$50
2021-06-30,$49
2021-03-31,$68
2020-12-31,$42
2020-09-30,$57
2020-06-30,$38
2020-03-31,$91
2019-12-31,$53
2019-09-30,$67
2019-06-30,$66
2019-03-31,$78
2018-12-31,$49
2018-09-30,$75
2018-06-30,$49
2018-03-31,$38
2017-12-31,$18
2017-09-30,$62
2017-06-30,$54
2017-03-31,$38
2016-12-31,$47
2016-09-30,$63
2016-06-30,$51
2016-03-31,$41
2015-12-31,$26
2015-09-30,$50
2015-06-30,$44
2015-03-31,$44
2014-12-31,$44
2014-09-30,$52
2014-06-30,$46
2014-03-31,$45
2013-12-31,$23
2013-09-30,$52
2013-06-30,$24
2013-03-31,$42
2012-12-31,$27
2012-09-30,$46
2012-06-30,$28
2012-03-31,$39
2011-12-31,$28
2011-09-30,$42
2011-06-30,$36
2011-03-31,$32
2010-12-31,$22
2010-09-30,$33
2010-06-30,$32
2010-03-31,$24
2009-12-31,$22
2009-09-30,$24
2009-06-30,$25
2009-03-31,$18
