Live Oak Bancshares Quarterly Net Income (Millions of US $),Live Oak Bancshares Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$28
2023-12-31,$16
2023-09-30,$40
2023-06-30,$18
2023-03-31,$0
2022-12-31,$2
2022-09-30,$43
2022-06-30,$97
2022-03-31,$35
2021-12-31,$30
2021-09-30,$34
2021-06-30,$64
2021-03-31,$39
2020-12-31,$30
2020-09-30,$34
2020-06-30,$4
2020-03-31,$-8
2019-12-31,$7
2019-09-30,$4
2019-06-30,$5
2019-03-31,$2
2018-12-31,$10
2018-09-30,$14
2018-06-30,$14
2018-03-31,$12
2017-12-31,$72
2017-09-30,$13
2017-06-30,$10
2017-03-31,$6
2016-12-31,$5
2016-09-30,$3
2016-06-30,$0
2016-03-31,$5
2015-12-31,$6
2015-09-30,$3
2015-06-30,$4
2015-03-31,$8
2014-12-31,$2
2014-09-30,$1
2014-06-30,$7
2014-03-31,$0
2013-12-31,
2012-12-31,
