Dominion Energy Quarterly Net Income (Millions of US $),Dominion Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$572
2024-03-31,$654
2023-12-31,$287
2023-09-30,$163
2023-06-30,$583
2023-03-31,$961
2022-12-31,$285
2022-09-30,$778
2022-06-30,$-453
2022-03-31,$711
2021-12-31,"$1,452"
2021-09-30,$654
2021-06-30,$285
2021-03-31,"$1,008"
2020-12-31,$714
2020-09-30,$356
2020-06-30,"$-1,185"
2020-03-31,$-286
2019-12-31,"$1,009"
2019-09-30,$975
2019-06-30,$54
2019-03-31,$-680
2018-12-31,$641
2018-09-30,$854
2018-06-30,$449
2018-03-31,$503
2017-12-31,"$1,312"
2017-09-30,$665
2017-06-30,$390
2017-03-31,$632
2016-12-31,$457
2016-09-30,$690
2016-06-30,$452
2016-03-31,$524
2015-12-31,$357
2015-09-30,$593
2015-06-30,$413
2015-03-31,$536
2014-12-31,$243
2014-09-30,$529
2014-06-30,$159
2014-03-31,$379
2013-12-31,$431
2013-09-30,$569
2013-06-30,$202
2013-03-31,$495
2012-12-31,$-659
2012-09-30,$209
2012-06-30,$258
2012-03-31,$494
2011-12-31,$201
2011-09-30,$392
2011-06-30,$336
2011-03-31,$479
2010-12-31,$298
2010-09-30,$575
2010-06-30,"$1,761"
2010-03-31,$174
2009-12-31,$-9
2009-09-30,$594
2009-06-30,$454
2009-03-31,$248
