ODP Quarterly Net Income (Millions of US $),ODP Quarterly Net Income (Millions of US $).1
2024-06-30,$-73
2024-03-31,$15
2023-12-31,$-37
2023-09-30,$70
2023-06-30,$34
2023-03-31,$72
2022-12-31,$17
2022-09-30,$67
2022-06-30,$27
2022-03-31,$55
2021-12-31,$-274
2021-09-30,$101
2021-06-30,$-88
2021-03-31,$53
2020-12-31,$18
2020-09-30,$57
2020-06-30,$-439
2020-03-31,$45
2019-12-31,$55
2019-09-30,$60
2019-06-30,$-24
2019-03-31,$8
2018-12-31,$-13
2018-09-30,$60
2018-06-30,$16
2018-03-31,$41
2017-12-31,$-51
2017-09-30,$92
2017-06-30,$24
2017-03-31,$116
2016-12-31,$80
2016-09-30,$193
2016-06-30,$210
2016-03-31,$46
2015-12-31,$15
2015-09-30,$6
2015-06-30,$-58
2015-03-31,$45
2014-12-31,$-84
2014-09-30,$29
2014-06-30,$-190
2014-03-31,$-109
2013-12-31,$-145
2013-09-30,$133
2013-06-30,$-64
2013-03-31,$-17
2012-12-31,$-15
2012-09-30,$-70
2012-06-30,$-64
2012-03-31,$39
2011-12-31,$24
2011-09-30,$80
2011-06-30,$-29
2011-03-31,$-15
2010-12-31,$-109
2010-09-30,$32
2010-06-30,$-25
2010-03-31,$20
2009-12-31,$-77
2009-09-30,$-413
2009-06-30,$-83
2009-03-31,$-55
