Zimmer Biomet Holdings Quarterly Net Income (Millions of US $),Zimmer Biomet Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$243
2024-03-31,$172
2023-12-31,$419
2023-09-30,$163
2023-06-30,$210
2023-03-31,$233
2022-12-31,$-130
2022-09-30,$194
2022-06-30,$154
2022-03-31,$14
2021-12-31,$-85
2021-09-30,$146
2021-06-30,$142
2021-03-31,$199
2020-12-31,$334
2020-09-30,$243
2020-06-30,$-207
2020-03-31,$-509
2019-12-31,$321
2019-09-30,$431
2019-06-30,$134
2019-03-31,$246
2018-12-31,$-901
2018-09-30,$162
2018-06-30,$185
2018-03-31,$175
2017-12-31,"$1,231"
2017-09-30,$99
2017-06-30,$184
2017-03-31,$299
2016-12-31,$70
2016-09-30,$159
2016-06-30,$-31
2016-03-31,$109
2015-12-31,$127
2015-09-30,$22
2015-06-30,$-174
2015-03-31,$171
2014-12-31,$149
2014-09-30,$173
2014-06-30,$177
2014-03-31,$222
2013-12-31,$255
2013-09-30,$154
2013-06-30,$152
2013-03-31,$219
2012-12-31,$153
2012-09-30,$178
2012-06-30,$215
2012-03-31,$210
2011-12-31,$157
2011-09-30,$192
2011-06-30,$204
2011-03-31,$209
2010-12-31,$35
2010-09-30,$191
2010-06-30,$166
2010-03-31,$205
2009-12-31,$155
2009-09-30,$150
2009-06-30,$210
2009-03-31,$202
