Peabody Energy Quarterly Net Income (Millions of US $),Peabody Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$199
2024-03-31,$40
2023-12-31,$192
2023-09-30,$120
2023-06-30,$179
2023-03-31,$269
2022-12-31,$632
2022-09-30,$375
2022-06-30,$410
2022-03-31,$-120
2021-12-31,$513
2021-09-30,$-44
2021-06-30,$-29
2021-03-31,$-80
2020-12-31,$-129
2020-09-30,$-67
2020-06-30,"$-1,544"
2020-03-31,$-130
2019-12-31,$-290
2019-09-30,$-83
2019-06-30,$37
2019-03-31,$124
2018-12-31,$253
2018-09-30,$72
2018-06-30,$114
2018-03-31,$107
2017-12-31,$193
2017-09-30,$201
2017-06-30,$-352
2017-03-31,$115
2016-12-31,$-193
2016-09-30,$-138
2016-06-30,$-228
2016-03-31,$-171
2015-12-31,$-439
2015-09-30,$-305
2015-06-30,"$-1,045"
2015-03-31,$-177
2014-12-31,$-462
2014-09-30,$-151
2014-06-30,$-73
2014-03-31,$-49
2013-12-31,$-566
2013-09-30,$-26
2013-06-30,$90
2013-03-31,$-24
2012-12-31,"$-1,003"
2012-09-30,$43
2012-06-30,$203
2012-03-31,$172
2011-12-31,$220
2011-09-30,$274
2011-06-30,$283
2011-03-31,$176
2010-12-31,$209
2010-09-30,$222
2010-06-30,$205
2010-03-31,$133
2009-12-31,$92
2009-09-30,$106
2009-06-30,$79
2009-03-31,$169
