Primerica Quarterly Net Income (Millions of US $),Primerica Quarterly Net Income (Millions of US $).1
2024-06-30,$1
2024-03-31,$138
2023-12-31,$149
2023-09-30,$152
2023-06-30,$145
2023-03-31,$128
2022-12-31,$147
2022-09-30,$80
2022-06-30,$128
2022-03-31,$115
2021-12-31,$137
2021-09-30,$112
2021-06-30,$128
2021-03-31,$98
2020-12-31,$99
2020-09-30,$112
2020-06-30,$101
2020-03-31,$72
2019-12-31,$92
2019-09-30,$96
2019-06-30,$97
2019-03-31,$79
2018-12-31,$85
2018-09-30,$85
2018-06-30,$87
2018-03-31,$66
2017-12-31,$168
2017-09-30,$67
2017-06-30,$63
2017-03-31,$52
2016-12-31,$57
2016-09-30,$58
2016-06-30,$59
2016-03-31,$45
2015-12-31,$47
2015-09-30,$49
2015-06-30,$49
2015-03-31,$43
2014-12-31,$43
2014-09-30,$41
2014-06-30,$49
2014-03-31,$45
2013-12-31,$33
2013-09-30,$43
2013-06-30,$43
2013-03-31,$38
2012-12-31,$44
2012-09-30,$44
2012-06-30,$45
2012-03-31,$40
2011-12-31,$36
2011-09-30,$34
2011-06-30,$37
2011-03-31,$45
2010-12-31,$18
2010-09-30,$40
2010-06-30,$22
2010-03-31,$143
2009-12-31,$126
2009-09-30,$124
2009-06-30,$132
2009-03-31,$113
