Descartes Systems Group Quarterly Net Income (Millions of US $),Descartes Systems Group Quarterly Net Income (Millions of US $).1
2024-07-31,$35
2024-04-30,$35
2024-01-31,$32
2023-10-31,$27
2023-07-31,$28
2023-04-30,$29
2023-01-31,$30
2022-10-31,$26
2022-07-31,$23
2022-04-30,$23
2022-01-31,$19
2021-10-31,$25
2021-07-31,$23
2021-04-30,$18
2021-01-31,$17
2020-10-31,$13
2020-07-31,$11
2020-04-30,$11
2020-01-31,$11
2019-10-31,$10
2019-07-31,$9
2019-04-30,$7
2019-01-31,$8
2018-10-31,$8
2018-07-31,$8
2018-04-30,$7
2018-01-31,$7
2017-10-31,$6
2017-07-31,$7
2017-04-30,$7
2017-01-31,$6
2016-10-31,$6
2016-07-31,$6
2016-04-30,$6
2016-01-31,$5
2015-10-31,$5
2015-07-31,$5
2015-04-30,$5
2015-01-31,$4
2014-10-31,$4
2014-07-31,$4
2014-04-30,$4
2014-01-31,$3
2013-10-31,$2
2013-07-31,$2
2013-04-30,$3
2013-01-31,$8
2012-10-31,$3
2012-07-31,$2
2012-04-30,$3
2012-01-31,$5
2011-10-31,$3
2011-07-31,$3
2011-04-30,$2
2011-01-31,$8
2010-10-31,$2
2010-07-31,$2
2010-04-30,$0
2010-01-31,$10
2009-10-31,$1
2009-07-31,$1
2009-04-30,$2
2009-01-31,$16
