Methanex Quarterly Net Income (Millions of US $),Methanex Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$53
2023-12-31,$33
2023-09-30,$24
2023-06-30,$57
2023-03-31,$60
2022-12-31,$41
2022-09-30,$69
2022-06-30,$125
2022-03-31,$119
2021-12-31,$201
2021-09-30,$71
2021-06-30,$107
2021-03-31,$105
2020-12-31,$-27
2020-09-30,$-88
2020-06-30,$-65
2020-03-31,$23
2019-12-31,$9
2019-09-30,$-10
2019-06-30,$50
2019-03-31,$38
2018-12-31,$161
2018-09-30,$128
2018-06-30,$111
2018-03-31,$169
2017-12-31,$68
2017-09-30,$32
2017-06-30,$84
2017-03-31,$132
2016-12-31,$25
2016-09-30,$-11
2016-06-30,$-3
2016-03-31,$-23
2015-12-31,$10
2015-09-30,$78
2015-06-30,$105
2015-03-31,$9
2014-12-31,$133
2014-09-30,$52
2014-06-30,$125
2014-03-31,$145
2013-12-31,$128
2013-09-30,$87
2013-06-30,$54
2013-03-31,$60
2012-12-31,$-140
2012-09-30,$-3
2012-06-30,$52
2012-03-31,$22
2011-12-31,$64
2011-09-30,$62
2011-06-30,$41
2011-03-31,$35
2010-12-31,$28
2010-09-30,$33
2010-06-30,$12
2010-03-31,$29
2009-12-31,$26
2009-09-30,$-1
2009-06-30,$-6
2009-03-31,$-18
