AZZ Quarterly Net Income (Millions of US $),AZZ Quarterly Net Income (Millions of US $).1
2024-08-31,$35
2024-05-31,$-37
2024-02-29,$14
2023-11-30,$23
2023-08-31,$25
2023-05-31,$25
2023-02-28,$-3
2022-11-30,$-24
2022-08-31,$-59
2022-05-31,$24
2022-02-28,$22
2021-11-30,$21
2021-08-31,$19
2021-05-31,$22
2021-02-28,$16
2020-11-30,$20
2020-08-31,$-2
2020-05-31,$6
2020-02-29,$-11
2019-11-30,$22
2019-08-31,$16
2019-05-31,$21
2019-02-28,$9
2018-11-30,$15
2018-08-31,$11
2018-05-31,$16
2018-02-28,$23
2017-11-30,$-0
2017-08-31,$10
2017-05-31,$12
2017-02-28,$12
2016-11-30,$17
2016-08-31,$10
2016-05-31,$22
2016-02-29,$15
2015-11-30,$24
2015-08-31,$17
2015-05-31,$20
2015-02-28,$17
2014-11-30,$20
2014-08-31,$14
2014-05-31,$15
2014-02-28,$10
2013-11-30,$18
2013-08-31,$16
2013-05-31,$15
2013-02-28,$13
2012-11-30,$15
2012-08-31,$16
2012-05-31,$16
2012-02-29,$12
2011-11-30,$10
2011-08-31,$10
2011-05-31,$9
2011-02-28,$9
2010-11-30,$10
2010-08-31,$10
2010-05-31,$6
2010-02-28,$8
2009-11-30,$9
2009-08-31,$11
2009-05-31,$10
2009-02-28,$10
